Game_Name,Game_url,Tags
Xenonauts 2,https://store.steampowered.com/app/538030/Xenonauts_2/?snr=1_7_7_7000_150_1,"Strategy,RPG,Turn-Based Strategy,Turn-Based Tactics,Turn-Based,Action,Simulation,Adventure,Sci-fi,Survival,Open World,Story Rich,Dark Fantasy,City Builder,Singleplayer,Tactical,Turn-Based Combat,War,Grand Strategy,Early Access"
Team Fortress 2,https://store.steampowered.com/app/440/Team_Fortress_2/?snr=1_7_7_7000_150_1,"Free to Play,Hero Shooter,Multiplayer,FPS,Shooter,Action,Class-Based,Team-Based,Funny,First-Person,Online Co-Op,Competitive,Cartoony,Trading,Co-op,Comedy,Robots,Tactical,Cartoon,Crafting"
Baldur's Gate 3,https://store.steampowered.com/app/1086940/Baldurs_Gate_3/?snr=1_7_7_7000_150_1,"Early Access,RPG,Choices Matter,Character Customization,Story Rich,CRPG,Fantasy,Co-op Campaign,Romance,Class-Based,Dark Fantasy,Turn-Based Combat,PvE,Narration,Combat,Stealth,Crafting,Dungeons & Dragons,Isometric,Team-Based"
Dota 2,https://store.steampowered.com/app/570/Dota_2/?snr=1_7_7_7000_150_1,"Free to Play,MOBA,Multiplayer,Strategy,eSports,Team-Based,Competitive,Action,Online Co-Op,PvP,Difficult,Co-op,RTS,Tower Defense,RPG,Fantasy,Character Customization,Replay Value,Action RPG,Simulation"
BeamNG.drive,https://store.steampowered.com/app/284160/BeamNGdrive/?snr=1_7_7_7000_150_2,"Simulation,Driving,Physics,Destruction,Realistic,Automobile Sim,Open World,Sandbox,Racing,Moddable,Singleplayer,Multiplayer,Early Access,First-Person,Third Person,Exploration,Funny,Action,Adventure,Flight"
STALCRAFT,https://store.steampowered.com/app/1818450/STALCRAFT/?snr=1_7_7_7000_150_2,"Free to Play,FPS,MMORPG,Action,Adventure,Shooter,Atmospheric,First-Person,Looter Shooter,Horror,RPG,PvP,Massively Multiplayer,Combat,Tactical,Story Rich,Team-Based,Multiplayer,Alternate History,PvE"
NARUTO SHIPPUDEN: Ultimate Ninja STORM 4,https://store.steampowered.com/app/349040/NARUTO_SHIPPUDEN_Ultimate_Ninja_STORM_4/?snr=1_7_7_7000_150_2,"Anime,Fighting,Action,Ninja,Multiplayer,Adventure,Story Rich,Singleplayer,Local Multiplayer,Third Person,Great Soundtrack,Open World,Fantasy,Atmospheric,Co-op,Online Co-Op,Beat 'em up,Local Co-Op,Memes,Heist"
Garry's Mod,https://store.steampowered.com/app/4000/Garrys_Mod/?snr=1_7_7_7000_150_2,"Sandbox,Multiplayer,Funny,Moddable,Building,Mod,Comedy,Co-op,First-Person,Physics,Simulation,Online Co-Op,FPS,Singleplayer,Action,Animation & Modeling,Shooter,Indie,Massively Multiplayer,Adventure"
Warhammer: Vermintide 2,https://store.steampowered.com/app/552500/Warhammer_Vermintide_2/?snr=1_7_7_7000_150_2,"Co-op,First-Person,Dark Fantasy,Games Workshop,Violent,Hack and Slash,Gore,Online Co-Op,Action,Action RPG,Fantasy,Multiplayer,PvE,Atmospheric,Roguelite,FPS,Singleplayer,Survival,Adventure,Indie"
Contraband Police,https://store.steampowered.com/app/756800/Contraband_Police/?snr=1_7_7_7000_150_2,"Open World,Action,First-Person,Multiple Endings,1980s,Realistic,Automobile Sim,Simulation,Singleplayer,Story Rich,FPS,Survival,Action-Adventure,Management,Immersive Sim,Detective,Physics,Destruction,Atmospheric,Indie"
Squad,https://store.steampowered.com/app/393380/Squad/?snr=1_7_7_7000_150_2,"Military,Realistic,FPS,Multiplayer,Team-Based,Tactical,Shooter,War,First-Person,Action,Massively Multiplayer,Strategy,Modern,Base Building,Simulation,Wargame,Open World,Immersive Sim,Atmospheric,PvP"
Cities: Skylines II,https://store.steampowered.com/app/949230/Cities_Skylines_II/?snr=1_7_7_7000_150_2,"Simulation,City Builder,Building,Singleplayer,Strategy,Multiplayer,Sandbox,Management,Economy,Realistic,Moddable,Atmospheric,Casual"
Killing Floor 2,https://store.steampowered.com/app/232090/Killing_Floor_2/?snr=1_7_7_7000_150_2,"Zombies,Co-op,Gore,FPS,Multiplayer,Survival,Action,Online Co-Op,Horror,Shooter,First-Person,Team-Based,Survival Horror,Great Soundtrack,Atmospheric,Difficult,Singleplayer,Early Access,Indie,Blood"
Farming Simulator 22,https://store.steampowered.com/app/1248130/Farming_Simulator_22/?snr=1_7_7_7000_150_2,"Simulation,Co-op,Farming Sim,Agriculture,Moddable,Management,Multiplayer,Sandbox,3D,First-Person,Immersive Sim,Online Co-Op,Economy,Character Customization,Family Friendly,Open World,Third Person,Nature,Horses,America"
The Outlast Trials,https://store.steampowered.com/app/1304930/The_Outlast_Trials/?snr=1_7_7_7000_150_2,"Early Access,Co-op,Survival Horror,Horror,Multiplayer,Psychological Horror,First-Person,PvE,Character Customization,Action-Adventure,Action,Stealth,Dark Humor,Survival,Alternate History,Realistic,Atmospheric,Dark,Science,Adventure"
Tower of Fantasy,https://store.steampowered.com/app/2064650/Tower_of_Fantasy/?snr=1_7_7_7000_150_2,"MMORPG,RPG,Anime,Action,Action-Adventure,Open World,Action RPG,3D Platformer,Cinematic,Cartoony,Drama,Sci-fi,Post-apocalyptic,Futuristic,Cyberpunk,Free to Play,Massively Multiplayer,Character Customization,Story Rich,Bullet Time"
Deep Rock Galactic,https://store.steampowered.com/app/548430/Deep_Rock_Galactic/?snr=1_7_7_7000_150_2,"Co-op,PvE,FPS,Exploration,Procedural Generation,Shooter,Loot,Class-Based,First-Person,Sci-fi,Space,Action,Looter Shooter,Atmospheric,Combat,Horror,Survival,Action Roguelike,Dark,Open World"
Vampyr,https://store.steampowered.com/app/427290/Vampyr/?snr=1_7_7_7000_150_2,"Vampire,RPG,Choices Matter,Story Rich,Open World,Action,Singleplayer,Atmospheric,Third Person,Horror,Dark Fantasy,Violent,Dark,Gore,Adventure,Sexual Content,Great Soundtrack,Stealth,Souls-like,Nudity"
"Warhammer 40,000: Darktide",https://store.steampowered.com/app/1361210/Warhammer_40000_Darktide/?snr=1_7_7_7000_150_2,"Warhammer 40K,Gore,Adventure,Online Co-Op,Multiplayer,PvE,FPS,Survival Horror,Shooter,Hack and Slash,Character Customization,First-Person,Co-op,Action,Violent,Atmospheric,Sci-fi,Dark Fantasy,Looter Shooter,Horror"
Sons Of The Forest,https://store.steampowered.com/app/1326470/Sons_Of_The_Forest/?snr=1_7_7_7000_150_2,"Survival,Open World,Multiplayer,Survival Horror,Co-op,Base Building,Crafting,Horror,First-Person,Exploration,Adventure,Building,Singleplayer,Atmospheric,Action-Adventure,Sandbox,Action,Simulation,Early Access,Immersive Sim"
Escape the Backrooms,https://store.steampowered.com/app/1943950/Escape_the_Backrooms/?snr=1_7_7_7000_150_2,"Horror,Multiplayer,Psychological Horror,Online Co-Op,First-Person,Survival Horror,Co-op,Adventure,Exploration,Action,Indie,Early Access,3D,VR,Escape Room,Singleplayer,Action-Adventure,Casual,Stealth,Dungeon Crawler"
Crusader Kings III,https://store.steampowered.com/app/1158310/Crusader_Kings_III/?snr=1_7_7_7000_150_3,"Strategy,Simulation,RPG,Grand Strategy,Medieval,Historical,Management,RTS,Character Customization,Life Sim,4X,Singleplayer,Sandbox,Choices Matter,War,Economy,Moddable,Political,Multiplayer,Real-Time with Pause"
Mount & Blade II: Bannerlord,https://store.steampowered.com/app/261550/Mount__Blade_II_Bannerlord/?snr=1_7_7_7000_150_3,"Medieval,Strategy,Open World,RPG,War,Sandbox,Multiplayer,Singleplayer,Action,Character Customization,Simulation,Moddable,Adventure,Horses,Realistic,Third Person,First-Person,Historical,Great Soundtrack,Early Access"
Age of Wonders 4,https://store.steampowered.com/app/1669000/Age_of_Wonders_4/?snr=1_7_7_7000_150_3,"Strategy,4X,Fantasy,Tactical RPG,Atmospheric,Colorful,Magic,Diplomacy,Character Customization,PvP,War,Grand Strategy,Hex Grid,Moddable,RPG,PvE,Exploration,Top-Down,Lore-Rich,Immersive Sim"
TOKYO GHOUL:re [CALL to EXIST],https://store.steampowered.com/app/756530/TOKYO_GHOULre_CALL_to_EXIST/?snr=1_7_7_7000_150_3,"Action,Anime,Gore,Violent,Character Customization,Singleplayer,Multiplayer,Sexual Content,Hentai,Hack and Slash,Co-op,Horror,Adventure,JRPG"
Dead Cells,https://store.steampowered.com/app/588650/Dead_Cells/?snr=1_7_7_7000_150_3,"Adventure,Action Roguelike,Pixel Graphics,Metroidvania,2D,Souls-like,Roguelike,Replay Value,Hack and Slash,Roguelite,Platformer,Singleplayer,Roguevania,Action,Difficult,Atmospheric,Dark Fantasy,Procedural Generation,Funny,Indie"
Bus World,https://store.steampowered.com/app/1193090/Bus_World/?snr=1_7_7_7000_150_3,"Automobile Sim,Simulation,Indie,Racing,Adventure,Early Access,Driving,Atmospheric,Singleplayer,Realistic,Open World,Casual,Sports,Sandbox,Exploration,Moddable,Difficult,Audio Production,Education,Relaxing"
,https://store.steampowered.com/agecheck/app/1245620/?snr=1_7_7_7000_150_2,Violent
,https://store.steampowered.com/sub/802975/?snr=1_7_7_7000_150_3,
,https://store.steampowered.com/agecheck/app/1824220/?snr=1_7_7_7000_150_3,
Don't Starve Together,https://store.steampowered.com/app/322330/Dont_Starve_Together/?snr=1_7_7_7000_150_3,"Survival,Open World Survival Craft,Multiplayer,Co-op,Open World,Adventure,Crafting,Online Co-Op,Sandbox,Difficult,Indie,2D,Atmospheric,Funny,Survival Horror,Strategy,Horror,Singleplayer,Action,Roguelike"
Tiny Bunny,https://store.steampowered.com/app/1421250/Tiny_Bunny/?snr=1_7_7_7000_150_3,"Visual Novel,Horror,Atmospheric,Story Rich,Dark,Psychological Horror,Choices Matter,Singleplayer,2D,Gore,Adventure,Interactive Fiction,Point & Click,Violent,Mature,Anime,Cute,Great Soundtrack,Early Access,Indie"
7 Days to Die,https://store.steampowered.com/app/251570/7_Days_to_Die/?snr=1_7_7_7000_150_3,"Survival,Zombies,Open World,Multiplayer,Open World Survival Craft,Voxel,Post-apocalyptic,Base Building,Online Co-Op,Exploration,Building,Sandbox,Simulation,FPS,Strategy,Character Customization,Tower Defense,Action,Procedural Generation,Early Access"
Divinity: Original Sin 2 - Definitive Edition,https://store.steampowered.com/app/435150/Divinity_Original_Sin_2__Definitive_Edition/?snr=1_7_7_7000_150_3,"Tactical RPG,RPG,Turn-Based Strategy,Story Rich,Exploration,Fantasy,CRPG,Party-Based RPG,Character Customization,Strategy RPG,PvP,Female Protagonist,Co-op Campaign,Local Co-Op,Isometric,Choices Matter,Romance,Strategy,Moddable,Funny"
Stardew Valley,https://store.steampowered.com/app/413150/Stardew_Valley/?snr=1_7_7_7000_150_3,"Farming Sim,Life Sim,Pixel Graphics,Multiplayer,RPG,Relaxing,Agriculture,Simulation,Crafting,Sandbox,Indie,Building,Singleplayer,Casual,Open World,2D,Cute,Great Soundtrack,Dating Sim,Fishing"
Medieval Dynasty,https://store.steampowered.com/app/1129580/Medieval_Dynasty/?snr=1_7_7_7000_150_3,"Survival,Building,Open World,Medieval,Singleplayer,RPG,City Builder,Crafting,Simulation,Colony Sim,Sandbox,Adventure,Resource Management,Realistic,First-Person,Exploration,Historical,Action,Co-op,Early Access"
Train Sim World® 3,https://store.steampowered.com/app/1944790/Train_Sim_World_3/?snr=1_7_7_7000_150_3,"Simulation,Trains,Driving,Realistic,Singleplayer,Transportation,First-Person,Relaxing,Physics,Family Friendly,Immersive Sim,Atmospheric,Multiplayer,Automobile Sim,Open World,Story Rich,Mature,Adventure,Psychological Horror,Survival Horror"
Yet Another Zombie Survivors,https://store.steampowered.com/app/2163330/Yet_Another_Zombie_Survivors/?snr=1_7_7_7000_150_3,"Action Roguelike,RPG,Roguelite,Bullet Hell,Zombies,3D,Horror,Team-Based,Casual,Controller,Isometric,Action,Early Access,Score Attack,Survival,Singleplayer,Dark,Modern,Post-apocalyptic,Cyberpunk"
UNDECEMBER,https://store.steampowered.com/app/1549250/UNDECEMBER/?snr=1_7_7_7000_150_4,"RPG,Hack and Slash,Multiplayer,Action RPG,Action,Free to Play,Dark Fantasy,Top-Down,Online Co-Op,Co-op,Third Person,Fantasy,Singleplayer,Loot,PvE,Cinematic,Character Customization,PvP,Realistic,Isometric"
EVE Online,https://store.steampowered.com/app/8500/EVE_Online/?snr=1_7_7_7000_150_4,"Space,Free to Play,RPG,Open World,Sci-fi,PvP,Sandbox,Massively Multiplayer,Strategy,Multiplayer,Economy,Action,Character Customization,Exploration,War,Spaceships,MMORPG,Politics,Lore-Rich,PvE"
Ember Knights,https://store.steampowered.com/app/1135230/Ember_Knights/?snr=1_7_7_7000_150_4,"Action Roguelike,Roguelite,Pixel Graphics,Dungeon Crawler,Hack and Slash,Adventure,RPG,Co-op,Multiplayer,Action,Online Co-Op,Singleplayer,2D,Local Co-Op,Roguelike,Local Multiplayer,Top-Down,Procedural Generation,Combat,Choices Matter"
Prison Architect,https://store.steampowered.com/app/233450/Prison_Architect/?snr=1_7_7_7000_150_4,"Simulation,Building,Sandbox,Strategy,Base Building,Colony Sim,Management,City Builder,2D,Top-Down,Economy,Resource Management,Multiplayer,Singleplayer,Capitalism,Moddable,Funny,Replay Value,Indie,Casual"
Farlight 84,https://store.steampowered.com/app/1928420/Farlight_84/?snr=1_7_7_7000_150_4,"Battle Royale,Free to Play,Hero Shooter,Vehicular Combat,Sci-fi,Early Access,Shooter,MOBA,Multiplayer,Third-Person Shooter,Massively Multiplayer,Third Person,3D,Adventure,Post-apocalyptic,PvP,Action,Survival,Futuristic,Character Customization"
